Color,gendi,qiaosheng,wenli,qibu,chugan,Good
qinglv,quansuo,zhuoxiang,qingxi,aoxian,yinghua,Yes
wuhei,quansuo,chenmen,qingxi,aoxian,yinghua,Yes
wuhei,quansuo,zhuoxiang,qingxi,aoxian,yinghua,Yes
qinglv,quansuo,chenmen,qingxi,aoxian,yinghua,Yes
qianbai,quansuo,zhuoxiang,qingxi,aoxian,yinghua,Yes
qinglv,shaoquan,zhuoxiang,qingxi,shaoao,ruannian,Yes
wuhei,shaoquan,zhuoxiang,shaohu,shaoao,ruannian,Yes
wuhei,shaoquan,zhuoxiang,qingxi,shaoao,yinghua,Yes
wuhei,shaoquan,chenmen,shaohu,shaoao,yinghua,No
qinglv,yingting,qingcui,qingxi,pingtan,ruannian,No
qianbai,yingting,qingcui,mohu,pingtan,yinghua,No
qianbai,quansuo,zhuoxiang,mohu,pingtan,ruannian,No
qinglv,shaoquan,zhuoxiang,shaohu,aoxian,yinghua,No
qianbai,shaoquan,chenmen,shaohu,aoxian,yinghua,No
wuhei,shaoquan,zhuoxiang,qingxi,shaoao,ruannian,No
qianbai,quansuo,zhuoxiang,mohu,pingtan,yinghua,No
qinglv,quansuo,chenmen,shaohu,shaoao,yinghua,No
